name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3,delta_PCE
3-morpholone,C1COCC(=O)N1,-0.369813236,0.369813236,0.232491034,0.615392345,-0.369813236,0.428571429,10.05365156,0,0,1,1,101.105,38.33,1,2,0,7,0,64.10749561,-0.8672,23.8287,1,0,1,0.75,2.17
2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1,-0.342214401,0.342214401,0.13333901,0.445795732,-0.342214401,0.7,4.983978521,0,1,0,1,132.166,28.68,1,1,0,10,0,308.5657969,1.87132,40.8307,2,2,1,0.125,2.1
4-aminopyridine,C1=CN=CC=C1N,-0.398638991,0.398638991,0.159904548,0.433075448,-0.398638991,0.571428571,5.733667477,0,2,0,1,94.117,38.91,1,2,0,7,0,129.9656602,0.6638,28.6494,1,1,1,0,2.6
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,-0.483723718,0.483723718,0.187825956,0.905790405,-0.483723718,0.56,9.720841475,6.176298517,2,0,1,369.368,67.87,1,4,5,25,0,850.7874647,3.51522,86.7301,3,3,2,0.25,2.14
"1,8-Naphthyridine",C1=CC2=C(N=C1)N=CC=C2,-0.236640568,0.236640568,0.114041134,0.395221833,-0.236640568,0.6,0,0,2,0,1,130.15,25.78,0,2,0,10,0,271.0151824,1.6298,39.538,2,2,2,0,2.2
hypoxanthine,C1=NC2=C(N1)C(=O)NC=N2,-0.338674824,0.338674824,0.223282269,0.614932823,-0.338674824,0.5,9.967957042,0,2,0,1,136.114,74.43,2,3,0,10,0,387.3305569,-0.3538,34.5094,2,2,2,0,1.72
"3,5-Difluorophenylboronic acid",B(C1=CC(=CC(=C1)F)F)(O)O,-0.423174856,0.488128647,0.249512666,0.911303503,-0.423174856,0.636363636,10.04804515,7.118392334,0,0,0,157.912,40.46,2,2,1,11,0,225.9652649,-0.3554,36.1836,1,1,0,0,1.98
adenine,C1=NC2=NC=NC(=C2N1)N,-0.381798268,0.381798268,0.212141276,0.564039004,-0.381798268,0.5,10.717646,0,4,0,1,135.13,80.48,2,4,0,10,0,341.5657969,-0.0649,36.0961,2,2,2,0,1.1
cytosine,C1=C(NC(=O)N=C1)N,-0.385103472,0.385103472,0.227983056,0.731036557,-0.385103472,0.625,5.733667477,5.689743398,2,0,1,111.104,71.77,2,3,0,8,0,217.4799615,-0.6479,29.2701,1,1,1,0,2
thiourea ,C(=S)(N)N,-0.376505715,0.376505715,0.229393233,0.537002014,-0.376505715,0.75,11.46733495,0,2,0,1,76.124,52.04,2,1,0,4,0,23.01955001,-0.8113,20.9728,0,0,0,0,1.21
thioacetamide ,CC(=S)N,-0.39355196,0.39355196,0.175639679,0.463088205,-0.39355196,0.75,5.733667477,0,1,0,1,75.136,26.02,1,1,0,4,0,23.01955001,0.2924,22.4594,0,0,0,0.5,1.88
dimethyl sulfide ,CSC,-0.168861688,0.168861688,0.070797169,0.150183476,0,1,0,0,0,0,0,62.137,0,0,1,0,3,0,0,0.9792,19.439,0,0,0,1,-0.45
Malonamide,C(C(=O)N)C(=O)N,-0.369231444,0.369231444,0.256628143,0.595578492,-0.369231444,0.571428571,11.46733495,0,0,2,1,102.093,86.18,2,2,2,7,0,76.21143267,-1.6529,23.0058,0,0,0,0.333333333,3.25
3-Thiopheneboronic acid,B(C1=CSC=C1)(O)O,-0.423158785,0.488775556,0.269255138,0.911934341,-0.423158785,0.875,10.04804515,7.118392334,0,0,0,127.961,40.46,2,3,1,8,0,135.0817365,-0.5721,34.1446,1,1,1,0,2.06
formamid,C(=O)N,-0.37226357,0.37226357,0.252596957,0.576294362,-0.37226357,0.666666667,5.733667477,0,0,1,1,45.041,43.09,1,1,0,3,0,7.509775004,-0.8985,10.2514,0,0,0,0,0.17
