Compound_CID,SMILES
161788090,[Li+].C.C.C.C.C.COC(=O)C(C1=CC=CC=C1)OC2=C(C=C(C=C2)Cl)C3=NC4=C(O3)C=CC=N4.COC(=O)C(C1=CC=CC=C1)Br.C1=CC=C(C=C1)C(C(=O)O)OC2=C(C=C(C=C2)Cl)C3=NC4=C(O3)C=CC=N4.C1=CC(=C(N=C1)N)O.C1=CC2=C(N=C1)N=C(O2)C3=C(C=CC(=C3)Cl)O.C1=CC(=C(C=C1Cl)C(=O)O)O.[OH-]
72217726,C1=C(C=NC(=C1C=O)N)C=O
44888847,COC1=CC=C(C=C1)C(=O)C[N+]2=CC=CC=C2N.[Br-]
68528800,CCOC(=O)C=CC1=CC=C(C=C1)OC2=NC=C(C=C2)N
83384810,CC(C1=CN=C(C=C1)N)(C(F)(F)F)O
45785707,B1(OC(C(O1)(C)C)(C)C)C2=CC(=NC=C2)N
81316842,C1=CC(=NC=C1N)C(=O)OCC2=CC=NC=C2
159299902,C1=C[N+](=CC=C1C#N)N.C1=C(C(=NC(=N1)Cl)Cl)[N+](=O)[O-]
6985185,C1=CC(=C([NH+]=C1)N)NC(=O)CCCC(=O)[O-]
44407868,CC1=C(C(=C(C=C1)NS(=O)(=O)C2=C(C=CC(=C2)Cl)Cl)O)CC(=O)NCC3=CC(=NC=C3)N
118106207,C1=CC(=C(C=C1Cl)C2=CC(=O)N(C=C2)CC(=O)OCC(=O)C3=NC=C(C=C3)N)N4C=NN=N4
24936241,C1=CC(=C(N=C1)N)C2=NC=C(C(=N2)NCC(=O)NCC(F)(F)F)F
161137042,CCOC(=O)C(C)(C)OC1=CN=C(C=C1)N.C1=CC(=NC=C1O)N.Br
159816617,C1=CN=CC=C1C2=NC(=CS2)C(=O)O.C1=CN=CC(=C1C(=O)N)N
