Dipole_Debye,Polarizability_au,HOMO_eV,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3,delta_PCE
4.5385,111.461217,-2.7164,-0.330142607,1,5.733667477,0,1,1,1,1,2,1.8058,1,0,0.25,-1.97
6.115,134.113324,-11.6358,-0.464796453,0.615384615,4.736862954,5.969305288,0,1,1,5,2,0.1821,1,1,0.166666667,2.95
6.287,109.013954,-9.5683,-0.330747578,0.7,9.967957042,0,0,0,2,1,0,2.22549,2,1,0,2.49
3.962,99.994914,-10.1741,-0.480076978,0.454545455,15.82417339,5.969305288,2,2,3,3,3,-0.6359,1,1,0.333333333,2.78
5.524,144.60278,-9.7669,-0.480077692,0.6,15.82417339,5.969305288,1,2,3,2,3,1.1223,2,1,0.181818182,3.37
2.294,96.538847,-12.9299,-0.192273411,0.428571429,0,0,2,1,0,2,0,1.98636,1,0,0,3.42
2.151,214.095942,-12.8548,0,0.441176471,0,0,0,0,0,0,3,4.2893,3,0,0,2.35
5.474,87.265041,-10.9609,-0.364900398,0.75,5.733667477,0,0,1,1,2,1,0.847,1,1,0,2.96
4.167,92.009365,-10.981,-0.19797459,0.777777778,0,0,1,1,0,1,1,1.75268,1,0,0.125,3.08
4.24,131.984288,-10.2733,-0.197974588,0.846153846,0,0,1,1,0,1,1,2.90588,2,0,0.083333333,2.21
7.568,89.49075,-10.2549,-0.398727657,0.666666667,5.733667477,0,2,1,1,2,0,1.14048,1,0,0,0.8
3.161,137.258924,-10.0128,0,1,0,0,0,0,2,2,7,3.1866,0,0,1,0.97
1.626,218.100482,-9.7131,0,1,0,0,0,0,0,0,3,3.4448,3,0,0,1.86
4.743,203.399473,-11.5356,-0.305152394,0.565217391,9.047494323,7.595762327,0,0,0,3,5,5.1728,1,0,0.571428571,2.06
4.806,61.482888,-10.1748,-0.340567857,0.333333333,4.567099648,0,2,1,0,1,0,0.4201,1,1,0.25,1.34
4.542,101.269967,-10.2195,-0.333730112,0.6,4.567099648,0,2,1,0,1,0,1.5733,2,1,0.125,1.74
1.576,163.937865,-10.3486,-0.505617502,0.764705882,5.106527395,0,3,1,1,3,1,2.43452,3,1,0.076923077,1.2
1.996,152.248496,-10.3653,-0.383682131,0.714285714,5.733667477,6.176298517,2,1,2,1,1,2.41127,1,0,0.125,2.07
