name,SMILES,MinPartialCharge,MaxAbsPartialCharge,StdPartialCharge,ChargeRange,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,FormalCharge,Complexity,LogP,MolarRefractivity,RingCount,AromaticRing,HeteroRing,FSP3
4-Fluoro-phenethylammonium iodide,C1=CC(=CC=C1CCN)F.I,-0.3301426070886499,0.3301426070886499,0.1116540828744675,0.4528698361592332,-0.3301426070886499,0.9090909090909092,5.733667477162185,0.0,1,0,1,267.085,26.02,1,1,2,11,0,183.69821324529929,1.9449,54.573400000000014,1,1,0,0.25
2-Fluoro-phenethylammonium iodide,C1=CC=C(C(=C1)CC[NH3+])F.[I-],-1.0,1.0,0.299573623747023,1.1261194141368371,-0.3572835430058163,0.7272727272727273,29.710307602424244,0.0,1,0,1,267.085,27.64,1,0,2,11,0,200.94821324529929,-2.3858999999999986,37.85909999999999,1,1,0,0.25
Benzylammonium iodide,C1=CC=C(C=C1)CN.I,-0.3264975066178272,0.3264975066178272,0.0912832823517529,0.3442582695645812,-0.3264975066178272,0.8888888888888888,5.733667477162185,0.0,1,0,1,235.068,26.02,1,1,1,9,0,141.38429890473827,1.7633,49.74840000000002,1,1,0,0.1428571428571428
Octylammonium iodide,CCCCCCCC[NH3+].[I-],-1.0,1.0,0.2983606957012175,1.073930339206695,-0.357560864886929,0.9,29.710307602424244,0.0,1,0,1,257.159,27.64,1,0,6,10,0,33.30296890880646,-1.407199999999996,41.13109999999999,0,0,0,1.0
"(E,E)-1-[5-(1,3-benzodioxol-5-yl)-1-oxo-2,4-pentadienyl]-piperidine",C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3,-0.4535950776302087,0.4535950776302087,0.186997902141262,0.6996442203062165,-0.4535950776302087,0.6666666666666666,14.373635638450576,0.0,0,1,1,285.3430000000001,38.77,0,3,3,21,0,553.401084448596,2.997200000000001,81.17000000000004,3,1,2,0.3529411764705882
guanidine sulfate,C(=N)(N)N.C(=N)(N)N.OS(=O)(=O)O,-0.3703335316561106,0.3943465294963554,0.2425074577640114,0.764680061152466,-0.3703335316561106,0.7692307692307693,22.93466990864874,10.399000581649606,6,0,1,216.22300000000004,226.38,8,4,0,13,0,194.76392511682727,-2.9756599999999995,46.38039999999998,0,0,0,0.0
"2,2,6,6-tetramethyl-1-piperidinyloxy",CC1(CCCC(N1[O])(C)C)C,-0.1439122943190925,0.1439122943190925,0.0536212040081489,0.1882359873448165,-0.1439122943190925,0.8181818181818182,0.0,0.0,1,0,1,156.249,23.14,0,1,0,11,0,126.11730005192324,2.375000000000001,44.534500000000016,1,0,1,1.0
ethylammonium,CCN.[N+](=O)(O)[O-],-0.3307484184390755,0.3307484184390755,0.1957527234393954,0.6220438975335463,-0.3307484184390755,0.8571428571428571,10.940920501939477,0.0,2,0,1,108.09699999999998,89.39,2,3,0,7,0,31.302968908806456,-0.3826999999999995,23.5093,0,0,0,1.0
imidazolium,C1=C[NH+]=CN1,-0.2503460668537822,0.2503460668537822,0.2070369753432923,0.4891266102820691,-0.2503460668537822,0.4,0.0,0.0,0,0,0,69.08699999999999,29.93,1,0,0,5,1,56.51517763826091,-0.1711999999999999,17.3484,1,1,1,0.0
guanidinium iodide,C(=N)(N)N.I,-0.3703335316561106,0.3703335316561106,0.2083051993098358,0.5528615339913754,-0.3703335316561106,0.8,11.46733495432437,0.0,3,0,1,186.984,75.89,3,1,0,5,0,23.019550008653876,-0.5434300000000001,31.516500000000008,0,0,0,0.0
acrylamide monomer,C=CC(=O)N,-0.3661333301605154,0.3661333301605154,0.2120219684042852,0.6064307284871454,-0.3661333301605154,0.8,5.733667477162185,0.0,0,1,1,71.07900000000001,43.09,1,1,1,5,0,51.058650025961626,-0.3423,19.3914,0,0,0,0.0
tetraoctylammonium chloride,CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC.[Cl-],-1.0,1.0,0.1750096268893343,1.0786130792169253,-0.3236090813636051,0.8823529411764706,16.8900640188746,0.0,1,0,1,502.35600000000056,0.0,0,0,28,34,0,274.43769820069616,8.249200000000007,153.2323999999998,0,0,0,1.0
"naphthalene-1,8-dicarboximide",C1=CC2=C3C(=C1)C(=O)NC(=O)C3=CC=C2,-0.2881416866001972,0.2881416866001972,0.1557483439927359,0.5464079083598489,-0.2881416866001972,0.6666666666666666,0.0,0.0,0,2,1,197.193,46.17,1,2,0,15,0,539.2598416777059,1.7233999999999998,55.744700000000016,3,2,1,0.0
"perylene-3,4-dicarboximide",C1=CC2=C3C(=C1)C4=C5C(=CC=C6C5=C(C=C4)C(=O)NC6=O)C3=CC=C2,-0.2881416716408688,0.2881416716408688,0.1216535233608869,0.5464090052984769,-0.2881416716408688,0.8,0.0,0.0,0,2,1,321.33500000000004,46.17,1,2,0,25,0,1283.6758201737257,4.620800000000003,99.44870000000004,6,5,1,0.0
Theophylline,CN1C2=C(C(=O)N(C1=O)C)NC=N2,-0.33872132070702,0.33872132070702,0.2265492083726775,0.6704245681053593,-0.33872132070702,0.4615384615384615,4.9839785209472085,5.689743398203474,3,0,1,180.167,72.68,1,3,0,13,0,555.7163275008263,-1.0397000000000003,46.575700000000005,2,2,2,0.2857142857142857
Caffeine,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-0.3278634660994821,0.3317034326359889,0.217994187230126,0.659566898735471,-0.3278634660994821,0.4285714285714285,4.567099647791355,5.689743398203474,4,0,1,194.194,61.82,0,3,0,14,0,597.2256230854155,-1.0293,51.19600000000001,2,2,2,0.375
