Compound_CID,SMILES,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,coord_types,MolecularWeight,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,LogP,RingCount,HeteroRing,FSP3
44487504,C[C@H]1CCCCO[C@H]([C@@H](CN(C(=O)C2=C(O1)C=CC(=C2)N(C)C)[C@@H](C)CO)C)CN(C)C(=O)C3=CC=NC=C3,-0.4898865833521272,0.5128205128205128,29.27998249499224,0.0,2.0,2.0,540.7050000000003,1.0,7.0,6.0,3.7153000000000023,3.0,2.0,0.5666666666666667
165341646,CC(C)NC(=O)C1=CN(C(=O)C=C1)CC2=CC=CC=C2F,-0.3498184662361617,0.5714285714285714,9.883888251797686,0.0,1.0,2.0,288.322,1.0,2.0,4.0,2.1739,2.0,1.0,0.25
18668635,CC(C)C(C1=CC=C(C=C1)C2=NC(=CC=C2)C(=O)NC(C)C)(C3=CN(C=N3)C(C4=CC=CC=C4)(C5=CC=CC=C5)C6=CC=CC=C6)O,-0.3784353062989345,0.7872340425531915,14.990415646638391,0.0,3.0,2.0,620.7970000000003,2.0,4.0,10.0,7.815400000000007,6.0,2.0,0.1951219512195122
121388881,COC1=C(C=CN=C1Cl)C(=O)N,-0.4926759112234692,0.5,10.470530430962237,0.0,1.0,2.0,186.598,1.0,3.0,2.0,0.8425,1.0,1.0,0.1428571428571428
172669637,CC1=C(C(=O)N(C=C1)CCC(C)C)C(=O)NC2=CC(=NN2C)C3=CN=CC=C3,-0.3148245056679601,0.5714285714285714,9.883888251797686,0.0,4.0,2.0,379.46400000000006,1.0,4.0,6.0,3.2506200000000014,3.0,3.0,0.3333333333333333
70784023,CC1=C(NC(=O)C(=C1)C(=O)NCC2=CC=C(O2)C(=O)NC)C,-0.4540438335211758,0.5909090909090909,20.034706666013214,0.0,0.0,1.0,303.31800000000004,3.0,4.0,4.0,0.8743399999999997,2.0,2.0,0.2666666666666666
172674331,CC1=C(C(=O)N(C=C1)C(C)CN(C)C)C(=O)NCC2=CN=C3N2C=CN=C3,-0.3462051432477821,0.5185185185185185,14.783797982648164,0.0,5.0,2.0,368.441,1.0,5.0,6.0,1.252019999999999,3.0,3.0,0.3684210526315789
156701436,CCN(C)C(=O)C1=CC=CC(=N1)CO,-0.3900634492752764,0.5714285714285714,10.006437125691184,0.0,1.0,2.0,194.234,1.0,3.0,3.0,0.6658,1.0,1.0,0.4
172672277,CC1=C(C(=O)N(C=C1)CC2CCCNC2)C(=O)NCC3=CSC(=N3)N4CCCC4,-0.3480896216385093,0.6206896551724138,20.100586586654494,0.0,4.0,2.0,415.5630000000002,2.0,6.0,6.0,2.14302,4.0,4.0,0.5714285714285714
137959729,COCC(=O)N(C1CCOCC1)C2CCCN(C2)C(=O)NC3=C(C(=CC=C3)Cl)F,-0.3812895288101456,0.5517241379310345,24.590333973307384,6.031114512338072,0.0,1.0,427.90400000000005,1.0,4.0,5.0,3.1294000000000013,3.0,2.0,0.6
