name,SMILES,MinPartialCharge,StdPartialCharge,N_O_MinCharge,Frac_NegativeAtoms,PEOE_VSA1,PEOE_VSA14,N_coord,O_coord,coord_types,MolecularWeight,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,FormalCharge,LogP,RingCount,HeteroRing,FSP3
"1,3-dihydroxypropan-2-one",C(C(=O)CO)O,-0.388490605626107,0.2471509691917289,-0.388490605626107,0.5,10.213054789681411,0.0,0,1,1,90.078,57.53,2,3,2,0,-1.4599000000000002,0,0,0.6666666666666666
tetramethylammonium chloride,C[N+](C)(C)C.[Cl-],-1.0,0.3959836774911543,-0.3333510191671373,0.3333333333333333,16.8900640188746,0.0,1,0,1,109.6,0.0,0,0,0,0,-2.673599999999997,0,0,1.0
chlorocholine chloride,C[N+](C)(C)CCCl.[Cl-],-1.0,0.3542230011047654,-0.3299267670427487,0.375,16.8900640188746,0.0,1,0,1,158.072,0.0,0,0,2,0,-2.064599999999997,0,0,1.0
choline chloride,C[N+](C)(C)CCO.[Cl-],-1.0,0.3665122925729203,-0.3905152898939616,0.375,21.996591413715308,0.0,1,0,1,139.62599999999998,20.23,1,1,2,0,-3.311099999999997,0,0,1.0
benzyltrimethylammonium chloride,C[N+](C)(C)CC1=CC=CC=C1.[Cl-],-1.0,0.2896469337023273,-0.3271649832460717,0.5833333333333334,16.8900640188746,0.0,1,0,1,185.698,0.0,0,0,2,0,-1.1031999999999984,1,0,0.4
N-hydroxysuccinimide,C1CC(=O)N(C1=O)O,-0.27851195922612,0.2126243131055299,-0.27851195922612,0.5,0.0,0.0,0,2,1,115.08799999999998,57.61,1,3,0,0,-0.4754,1,1,0.5
5-chloroindole,C1=CC2=C(C=CN2)C=C1Cl,-0.3611748871655983,0.1101762711184772,-0.3611748871655983,0.6,4.9839785209472085,0.0,0,0,0,151.59599999999998,15.79,1,0,0,0,2.8213,2,1,0.0
D-penicillamine,CC(C)([C@H](C(=O)O)N)S,-0.4800480707704972,0.2277156852489673,-0.4800480707704972,0.6666666666666666,10.84019487200289,5.969305287951849,1,1,2,149.215,63.31999999999999,3,3,2,0,0.1067000000000003,0,0,0.8
N-tert-butyl-2-benzothiazolesulfenamide,CC(C)(C)NSC1=NC2=CC=CC=C2S1,-0.2525602584106278,0.1022442001965164,-0.2525602584106278,0.7333333333333333,0.0,0.0,2,0,1,238.38100000000003,24.92,1,4,2,0,3.691500000000002,2,1,0.3636363636363636
18-Crown-6,C1COCCOCCOCCOCCOCCO1,-0.3766676360734525,0.2106150694756966,-0.3766676360734525,0.3333333333333333,28.42117772280029,0.0,0,0,0,264.3179999999999,55.38000000000001,0,6,0,0,0.099600000000001,1,1,1.0
